Restaurant,url,
Prime,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1637408-Reviews-Prime-Kuala_Lumpur_Wilayah_Persekutuan.html,
Yun House,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d14827076-Reviews-Yun_House-Kuala_Lumpur_Wilayah_Persekutuan.html,
Quivo Pavilion,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d7085237-Reviews-Quivo_Pavilion-Kuala_Lumpur_Wilayah_Persekutuan.html,
El Cerdo,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d877517-Reviews-El_Cerdo-Kuala_Lumpur_Wilayah_Persekutuan.html,
Manja,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d8609458-Reviews-Manja-Kuala_Lumpur_Wilayah_Persekutuan.html,
Healy Mac's Irish Bar and Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d8710655-Reviews-Healy_Mac_s_Irish_Bar_and_Restaurant-Kuala_Lumpur_Wilayah_Persekutuan.html,
Skillet KL,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3522178-Reviews-Skillet_KL-Kuala_Lumpur_Wilayah_Persekutuan.html,
Zenzero Restaurant & Wine Bar,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d6155771-Reviews-Zenzero_Restaurant_Wine_Bar-Kuala_Lumpur_Wilayah_Persekutuan.html,
El Toro Loco KL,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d15610270-Reviews-El_Toro_Loco_KL-Kuala_Lumpur_Wilayah_Persekutuan.html,
Gravybaby Jalan P Ramlee,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d14930177-Reviews-Gravybaby_Jalan_P_Ramlee-Kuala_Lumpur_Wilayah_Persekutuan.html,
LUCE Osteria Contemporanea,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d10742157-Reviews-LUCE_Osteria_Contemporanea-Kuala_Lumpur_Wilayah_Persekutuan.html,
Pier 12 Seafood Tavern,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d10825554-Reviews-Pier_12_Seafood_Tavern-Kuala_Lumpur_Wilayah_Persekutuan.html,
Vin's Restaurant and Bar,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1935181-Reviews-Vin_s_Restaurant_and_Bar-Kuala_Lumpur_Wilayah_Persekutuan.html,
BBQ NIGHTS,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d5863216-Reviews-BBQ_NIGHTS-Kuala_Lumpur_Wilayah_Persekutuan.html,
The Steakhouse KL,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3870396-Reviews-The_Steakhouse_KL-Kuala_Lumpur_Wilayah_Persekutuan.html,
Curate At Four Seasons Hotel Kuala Lumpur,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d14827104-Reviews-Curate_At_Four_Seasons_Hotel_Kuala_Lumpur-Kuala_Lumpur_Wilayah_Persekutuan.html,
"Graze Restaurant, Kuala lumpur",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d4604638-Reviews-Graze_Restaurant_Kuala_lumpur-Kuala_Lumpur_Wilayah_Persekutuan.html,
Prego,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1075630-Reviews-Prego-Kuala_Lumpur_Wilayah_Persekutuan.html,
Naughty Nuri's,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d7603674-Reviews-Naughty_Nuri_s-Kuala_Lumpur_Wilayah_Persekutuan.html,
The Lounge at Four Seasons,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d14957251-Reviews-The_Lounge_at_Four_Seasons-Kuala_Lumpur_Wilayah_Persekutuan.html,
Mandarin Grill,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d2092437-Reviews-Mandarin_Grill-Kuala_Lumpur_Wilayah_Persekutuan.html,
Tg's Nasi Kandar,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3470466-Reviews-Tg_s_Nasi_Kandar-Kuala_Lumpur_Wilayah_Persekutuan.html,
Plane In The City,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d14018278-Reviews-Plane_In_The_City-Kuala_Lumpur_Wilayah_Persekutuan.html,
Sushi Hibiki,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d14784908-Reviews-Sushi_Hibiki-Kuala_Lumpur_Wilayah_Persekutuan.html,
The Living Room,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1097420-Reviews-The_Living_Room-Kuala_Lumpur_Wilayah_Persekutuan.html,
Qureshi Malaysia,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d7247738-Reviews-Qureshi_Malaysia-Kuala_Lumpur_Wilayah_Persekutuan.html,
THIRTY8,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3501957-Reviews-THIRTY8-Kuala_Lumpur_Wilayah_Persekutuan.html,
